"","Measure","p-value(r)","Measure","p-value(rho)"
"1","glove.emb","0.9","glove.emb","0.2"
"2","fastext.emb","0.18","fastext.emb","0.062"
"3","cbow.emb","0.1","cbow.emb","0.034"
"4","en_wordsenses_BN.txt.nasari.unified","0.024","en_wordsenses_BN.txt.nasari.unified","0.019"
"5","Taieb2014","0.019","wordnet.ukb.ppv","0.017"
"6","CosineNormWeightedJiangConrath.Sanchez2011","0.019","paragram.sl.emb","0.015"
"7","CaiStrategy2.Cai","0.019","CosineNormWeightedJiangConrath.Sanchez2011","0.013"
"8","Zhou.Seco","0.019","Zhou.Seco","0.012"
"9","FaITH.Seco","0.017","Meng2014.Seco","0.011"
"10","Meng2012.Seco","0.017","CaiStrategy2.Cai","0.01"
"11","CosineNormJiangConrath.Sanchez2011","0.017","Taieb2014","0.01"
"12","Lin.Seco","0.017","Mubaid","0.01"
"13","Gao2015Strategy3.CondProbRefHyponyms","0.017","Li2003Strategy3","0.0099"
"14","PirroSeco.Seco","0.016","PedersenPath","0.0099"
"15","JiangConrath.Sanchez2011","0.015","LeacockChodorow","0.0099"
"16","paragram.sl.emb","0.014","Rada","0.0099"
"17","Li2003Strategy3","0.014","CosineNormJiangConrath.Sanchez2011","0.0097"
"18","LeacockChodorow","0.013","JiangConrath.Sanchez2011","0.0097"
"19","Meng2014.Seco","0.012","Garla.Sanchez2011","0.0097"
"20","Rada","0.012","Gao2015Strategy3.CondProbRefHyponyms","0.0097"
"21","Sanchez2012","0.011","PirroSeco.Seco","0.009"
"22","Mubaid","0.0088","Meng2012.Seco","0.0089"
"23","WuPalmerFast","0.0075","FaITH.Seco","0.0089"
"24","Resnik.CondProbRefLeavesSubsumersRatio","0.0074","Lin.Seco","0.0089"
"25","sp.500d.emb","0.0068","cf.emb","0.0083"
"26","PedersenPath","0.0061","Sanchez2012","0.0082"
"27","Garla.Sanchez2011","0.0056","sp.500d.emb","0.0058"
"28","cf.emb","0.0055","WuPalmerFast","0.0058"
"29","wordnet.ukb.ppv","0.0015","Resnik.CondProbRefLeavesSubsumersRatio","0.0044"
"30","attract.reppel.emb","0.00046","wordnet.randomwalks.emb","0.0012"
"31","wordnet.randomwalks.emb","0.00034","attract.reppel.emb","0.00086"
